Name,Prefix,Date Joined,Date of Last Deposit,Date of Last Query,Reference Links Live
National Institute of Public Health,10.21101,,"Apr 18, 2016",unknown,-
Povolzhskiy State University of Telecommunications and Informatics,10.18469,,"Dec 16, 2015",unknown,-
"""Henri Coanda"" Air Force Academy",10.19062,,"Jan 05, 2016",unknown,-
123Doc Education,10.7579,"May 16, 2012",unknown,unknown,-
21st Century COE Program (Toplogical Science and Technology),10.3731,"Nov 20, 2007",unknown,unknown,-
21st Century Political Science Association,10.17937,,"Apr 10, 2016",unknown,-
"8872147 Canada, Inc.",10.1503,"Aug 01, 2003","May 09, 2016",unknown,Yes
A Fundacao para o Desenvolvimento de Bauru (FunDeB),10.15675,,"Mar 01, 2016",unknown,-
A. I. Rosu Cultural Scientific Foundation Fundatia cultural-stiintifica A. I. Rosu,10.5775,"Jun 08, 2011","May 06, 2016",unknown,-
AACN Publishing,10.4037,"Oct 07, 2008","May 10, 2016",unknown,-
AAPG/Datapages,10.1306,"Nov 02, 2002","Apr 12, 2016",unknown,Yes
AAPG/Datapages,10.15530,"Nov 02, 2002","Apr 21, 2016",unknown,-
AAPG/Datapages,10.1306,"Nov 02, 2002","Apr 12, 2016",unknown,Yes
AAPG/Datapages,10.15530,"Nov 02, 2002","Apr 21, 2016",unknown,-
Aarhus University Library,10.7146,"Feb 21, 2012","May 04, 2016",unknown,-
AB Svensk Papperstidning,10.3183,"Mar 19, 2007","Dec 01, 2015",unknown,Yes
Abant Izzet Baysal Universitesi Egitim Fakultesi Dergisi,10.17240,,"Mar 29, 2016",unknown,-
Abant Izzet Baysal University Graduate School of Social Sciences,10.11616,"Dec 13, 2012","Apr 03, 2014",unknown,-
ABC Journals,10.18034,,"May 11, 2016",unknown,-
"ABCD Diabetes Care, LTD.",10.15277,"Mar 19, 2014","Mar 21, 2016",unknown,-
ABEAT - Associacao Brasileira de Especialistas em Alta Tecnologia,10.5769,"Jun 02, 2011","Feb 09, 2016",unknown,-
ABEC Publicacoes,10.21452,,"May 05, 2016",unknown,-
ABED - Associacao Brasileira de Educacao a Distancia,10.17143,,unknown,unknown,-
Aboriginal Policy Studies,10.5663,"Mar 24, 2011","Jan 13, 2016",unknown,-
ABRACICON: Academia Brasileira de Ciencias Contabeis,10.17524,,"Jun 30, 2015",unknown,-
Academia Koreana,10.18399,,"Dec 16, 2015",unknown,-
Academia Publishing,10.15413,"May 20, 2014",unknown,unknown,-
Academic and Educational Forum on International Relations,10.17994,,"Feb 12, 2016",unknown,-
Academic and Scientific Publishers,10.5689,"Apr 12, 2011",unknown,unknown,-
"Academic Journal, Al-Azhar University",10.19138,,"Feb 05, 2016",unknown,-
Academic Journals,10.5897,"Aug 22, 2011","May 04, 2016","Oct 05, 2015",-
Academic Platform Journal of Engineering and Science,10.21541,,unknown,unknown,-
Academic Publications,10.12732,"Feb 07, 2013","Jan 10, 2016",unknown,-
Academic Publishing House Researcher,10.13187,"Jun 20, 2013","Apr 28, 2016",unknown,-
Academic Society of Technology Management,10.2107,"Sep 16, 2004",unknown,unknown,Yes
Academic Star Publishing Company,10.15341,"Apr 07, 2014","May 10, 2016",unknown,-
AcademicPres (EAP) Publishing House,10.15835,,"Mar 16, 2016",unknown,-
Academicus Journal,10.7336,,"Jan 20, 2016","Apr 26, 2016",-
Academy and Industry Research Collaboration Center,10.5121,"Feb 19, 2010","May 11, 2016",unknown,-
Academy for 21st Century Christian Society and Culture,10.19036,,"Feb 25, 2016",unknown,-
Academy Health,10.13063,"May 15, 2013","May 05, 2016",unknown,-
"Academy of Asian Studies, Dankook University",10.17320,,"Dec 02, 2015",unknown,-
Academy of Dental Education,10.15423,"May 07, 2014",unknown,unknown,-
Academy of Inventors,10.21300,,unknown,unknown,-
Academy of Labor and Social Relations,10.20410,,unknown,unknown,-
Academy of Managed Care Pharmacy,10.18553,,"Apr 29, 2016",unknown,-
Academy of Medical and Health Sciences Research,10.17511,,"Feb 21, 2015",unknown,-
Academy of Science of South Africa,10.17159,,"May 12, 2016",unknown,-
Academy of Sciences and Arts of Bosnia anad Herzegovina,10.5644,"Apr 05, 2011","Jan 27, 2016",unknown,-
Academy of Sciences and Arts of the Republic of Srpska,10.5767,"Jun 27, 2011",unknown,unknown,-
Academy of Taiwan Information Systems Research,10.7903,"Sep 13, 2012","May 10, 2016",unknown,-
Academy Publication,10.17507,,"May 02, 2016",unknown,-
Academy Publisher,10.4304,"Aug 28, 2009","Feb 28, 2016",unknown,Yes
Accademia Italiana di Scienze Forestali,10.4129,"Feb 12, 2009","Feb 26, 2016",unknown,Yes
ACCB Publishing,10.20896,,"Feb 10, 2016",unknown,-
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",10.18257,,"Apr 05, 2016",unknown,-
ACFE Indonesia Chapter,10.21532,,unknown,unknown,-
ACOPIOS - Revista Iberica de Mineralogia,10.7597,"May 22, 2012",unknown,unknown,-
Acoustical Society of America,10.1121,"Jul 01, 2000","May 11, 2016","Oct 05, 2015",-
Acoustical Society of Japan,10.1250,"Jun 01, 2002","Apr 30, 2016",unknown,Yes
ACT Publishing Group,10.17554,,"Jan 22, 2016",unknown,-
Acta Agronomica Ovariensis,10.17108,,unknown,unknown,-
Acta Dermato-Venereologica,10.2340,"Sep 27, 2005","May 03, 2016",unknown,Yes
Acta Ecologica Sinica,10.5846,"Aug 01, 2011","Mar 29, 2016",unknown,-
ACTA Editora,10.14268,"Aug 22, 2013","Nov 06, 2015",unknown,-
ACTA Endocrinologica Foundation,10.4183,"Apr 15, 2009","Mar 15, 2016",unknown,Yes
Acta Medica Anatolia,10.15824,,"Oct 24, 2015",unknown,-
Acta Medica Saliniana,10.5457,"Nov 22, 2010","Feb 08, 2016",unknown,Yes
Acta Odontologica Turcica,10.17214,,"May 06, 2016",unknown,-
Acta Oncologica Turcica,10.20980,,unknown,unknown,-
Acta Pediatrica de Mexico,10.18233,,"Apr 18, 2016",unknown,-
Acta Physica Polonica B Editorial Office,10.5506,"Dec 07, 2010","Apr 11, 2016",unknown,Yes
ACTA Press,10.2316,"Aug 11, 2005","Mar 21, 2016",unknown,Yes
Acta Universitatis Gothoburgensis,10.21524,,"May 11, 2016",unknown,-
Acta Zoologica Hungarica,10.17109,,"Mar 22, 2016",unknown,-
Active Aging Research Center,10.17338,,"Dec 16, 2015",unknown,-
ACTS Theology Institute,10.19114,,"Apr 04, 2016",unknown,-
Actual Problems of Theory and History of Art,10.18688,,"Dec 23, 2015",unknown,-
Adam Mickiewicz University,10.7169,"Jan 18, 2012","Mar 22, 2016",unknown,-
Adam Mickiewicz University Poznan,10.14746,"Feb 24, 2014","Apr 22, 2016",unknown,-
Adarsh Group of Institutions,10.21095,,unknown,unknown,-
"Adenine Press, Inc.",10.7785,"Jul 19, 2012","Nov 25, 2015","Sep 14, 2015",-
Adiyaman Universitesi Egitim Bilimleri Dergisi,10.17984,,"Jan 04, 2016",unknown,-
Adiyaman University Journal of Social Sciences,10.14520,"Nov 20, 2013","May 10, 2016",unknown,-
Administracao Publica e Gestao Social,10.21118,,"May 11, 2016",unknown,-
"Administrative Issues Journal: Education, Practice and Research",10.5929,"Oct 18, 2011","Nov 04, 2015",unknown,-
Admiral Makarov National Unviersity of Shipbuilding,10.15589,"Jul 01, 2014",unknown,unknown,-
Advanced Electromagnetics,10.7716,"Jun 06, 2012","May 04, 2016",unknown,-
Advanced International Journals of Research (AIJR),10.21467,,"Apr 30, 2016",unknown,-
Advanced Research Journals,10.5138,"Mar 08, 2010",unknown,unknown,-
"AEPress, s.r.o.",10.4149,"Mar 09, 2009","Apr 14, 2016",unknown,-
AEQUA & SEG,10.17735,,"Dec 31, 2015",unknown,-
Aequitas Publishing,10.4059,"Nov 04, 2008",unknown,unknown,-
Aerospace Medical Association,10.3357,"Jul 16, 2007","Apr 22, 2016",unknown,Yes
Africa Magna Verlag,10.3213,"Dec 06, 2011","Apr 20, 2016",unknown,-
"African Journal of Food, Agriculture, Nutrition and Development",10.18697,,"Dec 07, 2015",unknown,-
African Journals Online,10.4314,"Oct 16, 2009","Apr 12, 2016",unknown,-
AFRICAN SUN MeDIA,10.18820,,"Apr 19, 2016",unknown,-
African Traditional Herbal Medicine Supporters Initiative (ATHMSI),10.21010,,"Apr 22, 2016",unknown,-
Agency for Marine and Fisheries Research and Development,10.15578,"Jul 07, 2014","Apr 21, 2016",unknown,-
AGH University of Science and Technology Press,10.7494,"May 16, 2012","Apr 28, 2016",unknown,-
Agial Publishing House,10.11131,"Nov 20, 2012","Mar 23, 2016",unknown,-
