10.1016/j.cell.2013.02.022,26NUEA87
10.1016/S1046-2023(02)00219-0,7PSWACX5
10.1016/j.stem.2013.11.002,TDZUXPA4
10.1016/j.molcel.2004.07.007,P5ATOF3R
10.1016/j.stem.2014.04.020,76V2TIOZ
10.1016/j.crvi.2014.01.002,B98IZF8T
10.1002/bit.25159,GN0YRZNZ
10.1002/biot.201400046,Z2ZNBC8A
10.1111/j.1464-4096.2004.04875.x,OAYJG1RS
10.1016/0006-8993(87)90372-6,1NR5N20J
10.1016/S0090-4295(01)01637-5,STRQ5T6D
10.1038/nrg3686,D5UT78ZU
10.1016/j.ydbio.2013.11.028,OF73PGON
10.1016/j.cell.2013.04.025,5A3Q27L0
10.1016/j.cell.2013.08.021,0K5N6I5R
10.1016/j.cell.2011.06.019,P9JUI7ZI
10.1016/j.tibtech.2013.04.004,PUDQRYUJ
10.1016/j.cbpa.2012.06.007,3S0XAT46
10.1016/j.jmb.2010.04.060,P32CF2F3
10.1002/prot.340120202,7NWJVB27
10.1016/j.molcel.2008.06.016,WE2WBVY3
10.1002/bit.24890,HVIULE46
10.1093/mp/sst006,8D2MMLG1
10.1016/j.stem.2012.11.011,SN740M0R
10.1002/anie.201203597,S7PKA1E8
10.1016/j.cell.2014.01.027,STMTLJ22
10.1016/j.stem.2013.03.006,AO8URUU3
10.1016/j.cell.2013.12.001,JK1ZXYL7
10.1007/s10237-015-0706-9,LR1A2S87
10.1016/j.ymeth.2013.02.014,KI1YODCZ
10.1016/j.bpj.2013.05.057,TB85ZWSB
10.1006/bbrc.2000.2360,ZCU53WE2
10.1016/S0304-3991(99)00157-6,D1JKG9D4
10.1016/S0021-9290(99)00175-X,ZZR8NK9T
10.1002/jbm.a.31114,ON34OF1H
10.1016/j.micron.2007.06.011,5W0NMFAI
10.1016/j.cell.2009.10.027,UX5E2Y57
10.1529/biophysj.108.133462,4IQ7IKJW
10.1111/j.1365-2818.2008.02057.x,4HHLZFAW
10.1007/s00249-011-0761-9,JDGQTJJ9
10.1016/j.micron.2012.03.023,77KZY2UN
10.1529/biophysj.107.116863,M64W5BWD
10.1016/S0006-3495(00)76614-8,OU9GVM4A
10.1002/cm.20341,REPU5AOP
10.1016/j.jbiomech.2009.09.003,WCKT4EGK
10.1016/j.bpj.2010.08.071,HHY6KHE6
10.1016/j.bpj.2012.12.042,HKYOAME6
10.1529/biophysj.107.107797,M31GNFJ4
10.1016/j.bpj.2011.04.031,2GKOZZDN
10.1016/S0090-4295(02)01786-7,OC1WI4KS
10.1016/0090-4295(77)90297-7,TTFKDLWF
10.1016/S0306-4522(99)00508-4,25277BZP
10.1016/0160-5402(86)90064-1,S2CBSC6N
10.1007/BF00590037,3OMXQYB3
10.1016/S0022-5347(01)67391-9,TINX1VF8
10.1016/S0022-5347(01)65443-0,EOMOOUPO
10.1111/j.1476-5381.1977.tb06975.x,KXGJCJAN
10.1016/0006-8993(82)90065-8,85L8U3IL
10.1006/hbeh.1997.1397,G8B8376U
10.1016/S0022-5347(05)67778-6,VJK2A7EJ
10.1113/jphysiol.1970.sp009240,YWRIMK3I
10.1111/j.1476-5381.1990.tb12956.x,V6QVRT84
10.1111/j.1748-1716.1980.tb06578.x,OM17BHLA
10.1016/0006-8993(75)90417-5,S6DJHY2L
10.1111/j.1476-5381.1993.tb13593.x,YVJZYWE5
10.1113/jphysiol.1955.sp005327,V2G5XKKC
10.1016/0006-8993(90)91758-9,MYCPM8LK
10.1016/0014-2999(90)90641-i,GZQ5FH5D
10.1111/j.1474-8673.1991.tb00253.x,9HUOD9Q0
10.1111/j.1474-8673.1985.tb00123.x,XPCWV5YY
10.1111/j.1476-5381.1991.tb12185.x,537S9U6C
10.1002/cm.20086,NW1O4GVY
10.1016/s0021-9290(01)00149-x,QMZ43KB1
10.1016/j.colsurfb.2003.12.013,69RA4IT7
10.1016/j.jbiomech.2007.06.019,UO9J71YZ
10.1016/j.jbiomech.2006.04.004,TR8MOIY7
10.1002/jor.1100120303,W4RYGZBW
10.1016/j.jbiomech.2004.11.006,KGSJAT24
10.1016/0022-5096(70)90029-3,MDFO3TCZ
10.1016/j.yexcr.2008.07.020,3MZX22M0
10.1007/s00249-012-0851-3,FLS40FA4
10.1016/s0006-3495(00)76724-5,4RI62TBX
10.1016/j.febslet.2005.12.037,G19FNQ9W
10.1016/j.tcb.2012.07.001,STU459RF
10.1016/s0021-9290(01)00201-9,GUCPJGAL
10.1016/s0021-9290(99)00178-5,V8F3GS3O
10.1016/s0006-3495(02)75214-4,5EPGNNB8
10.1016/s0304-3991(00)00076-0,T15DY8J8
10.1529/biophysj.106.099333,HAYJ94IN
10.1016/j.semcdb.2008.01.008,7R51W4LL
10.1529/biophysj.105.067496,T2ZWHN28
10.1016/j.bpj.2013.05.034,YF120MKH
10.1016/s0006-3495(04)74375-1,9XE0T67E
10.1016/j.susc.2004.06.179,537X1H20
10.1016/s0006-3495(02)75620-8,U0OY9PIQ
