Name,Prefix,Date Joined,Date of Last Deposit,Date of Last Query,Reference Links Live
"8872147 Canada, Inc.",10.1503,"Aug 01, 2003","May 09, 2016",unknown,Yes
AAPG/Datapages,10.1306,"Nov 02, 2002","Apr 12, 2016",unknown,Yes
AAPG/Datapages,10.1306,"Nov 02, 2002","Apr 12, 2016",unknown,Yes
AB Svensk Papperstidning,10.3183,"Mar 19, 2007","Dec 01, 2015",unknown,Yes
Academic Society of Technology Management,10.2107,"Sep 16, 2004",unknown,unknown,Yes
Academy Publisher,10.4304,"Aug 28, 2009","Feb 28, 2016",unknown,Yes
Accademia Italiana di Scienze Forestali,10.4129,"Feb 12, 2009","Feb 26, 2016",unknown,Yes
Acoustical Society of Japan,10.1250,"Jun 01, 2002","Apr 30, 2016",unknown,Yes
Acta Dermato-Venereologica,10.2340,"Sep 27, 2005","May 03, 2016",unknown,Yes
ACTA Endocrinologica Foundation,10.4183,"Apr 15, 2009","Mar 15, 2016",unknown,Yes
Acta Medica Saliniana,10.5457,"Nov 22, 2010","Feb 08, 2016",unknown,Yes
Acta Physica Polonica B Editorial Office,10.5506,"Dec 07, 2010","Apr 11, 2016",unknown,Yes
ACTA Press,10.2316,"Aug 11, 2005","Mar 21, 2016",unknown,Yes
Aerospace Medical Association,10.3357,"Jul 16, 2007","Apr 22, 2016",unknown,Yes
Agricultural History Society,10.3098,"Nov 03, 2006","May 11, 2016","Dec 21, 2015",Yes
Akademiai Kiado Zrt.,10.1556,"Feb 01, 2004","May 10, 2016","May 03, 2016",Yes
Alexandrine Press,10.2148,"Nov 23, 2004",unknown,"Oct 05, 2015",Yes
Allerton Press,10.3103,"Nov 10, 2006","May 12, 2016","May 11, 2016",Yes
Alphamed Press,10.1634,"Jun 16, 2004","May 09, 2016","Oct 05, 2015",Yes
Alphamed Press,10.5966,"Jun 16, 2004","May 09, 2016",unknown,Yes
Alphamed Press,10.1634,"Jun 16, 2004","May 09, 2016","Oct 05, 2015",Yes
Alphamed Press,10.5966,"Jun 16, 2004","May 09, 2016",unknown,Yes
ALPSP -Association of Learned and Professional Society Publishers,10.1087,"Jul 01, 2000","Sep 29, 2015","Oct 05, 2015",Yes
American Academy of Audiology,10.3766,"Dec 18, 2007","May 04, 2016",unknown,Yes
American Academy of Implant Dentistry,10.1563,"Feb 03, 2004","May 11, 2016",unknown,Yes
American Academy of Pediatrics,10.1542,"Jan 01, 2004","May 11, 2016",unknown,Yes
American Academy of Periodontology,10.1902,"Sep 01, 2004","May 10, 2016","Mar 12, 2015",Yes
American Accounting Association,10.2308,"Jul 20, 2005","May 11, 2016",unknown,Yes
American Association for Agricultural Education,10.5032,"Dec 08, 2009","Feb 06, 2016",unknown,Yes
American Association for Cancer Research,10.1158,"Jun 20, 2005","May 12, 2016","Oct 05, 2015",Yes
American Association for Clinical Chemistry,10.1373,"Apr 01, 2003","May 10, 2016",unknown,Yes
American Association for the Advancement of Science (AAAS),10.1126,"Jul 01, 2000","May 12, 2016","Sep 14, 2015",Yes
American Association of Clinical Endocrinologists,10.4158,"Mar 23, 2009","May 11, 2016","Feb 04, 2016",Yes
American Association of Pharmaceutical Scientists,10.1208,"Feb 01, 2002","May 11, 2016","May 11, 2016",Yes
American Association on Intellectual and Developmental Disabilities,10.1352,"Feb 01, 2003","Apr 27, 2016","Apr 27, 2016",Yes
American Astronomical Society,10.3847,"Apr 07, 2008","May 11, 2016","Mar 09, 2015",Yes
American Board of Family Medicine,10.3122,"Nov 28, 2006","May 11, 2016",unknown,Yes
American Chemical Society,10.1021,"Jul 01, 2000","May 12, 2016","May 12, 2016",Yes
American Cleft Palate Association,10.1597,"Mar 16, 2004","May 05, 2016","Oct 05, 2015",Yes
